zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,age_group,POP_DENSITY,AREA_TYPE
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38107,38107,Memphis,TN,Shelby,35.17054,-90.02397,14509.0,2.21,millennial,985.8,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,millennial,43.3,RURAL
38053,38053,Millington,TN,Shelby,35.33583,-89.95,25556.0,2.63,adult,60.2,RURAL
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38126,38126,Memphis,TN,Shelby,35.12695,-90.04378,6034.0,2.21,young,1235.7,SUBURBAN
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,millennial,274.5,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38112,38112,Memphis,TN,Shelby,35.14791,-89.97661,16334.0,2.25,millennial,1350.5,SUBURBAN
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38060,38060,Oakland,TN,Fayette,35.21214,-89.50468,11713.0,2.56,adult,108.0,RURAL
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38106,38106,Memphis,TN,Shelby,35.10067,-90.0375,23140.0,2.44,adult,778.4,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38053,38053,Millington,TN,Shelby,35.33583,-89.95,25556.0,2.63,adult,60.2,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,millennial,43.3,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38114,38114,Memphis,TN,Shelby,35.09648,-89.98596,22112.0,2.2,adult,1031.6,SUBURBAN
38106,38106,Memphis,TN,Shelby,35.10067,-90.0375,23140.0,2.44,adult,778.4,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38112,38112,Memphis,TN,Shelby,35.14791,-89.97661,16334.0,2.25,millennial,1350.5,SUBURBAN
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38668,38668,Senatobia,MS,Tate,34.60109,-89.92505,14076.0,2.51,millennial,35.6,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,millennial,2115.1,SUBURBAN
38635,38635,Holly Springs,MS,Marshall,34.7677,-89.47896,15608.0,2.58,millennial,17.4,RURAL
38127,38127,Memphis,TN,Shelby,35.23795,-90.01753,40565.0,2.89,millennial,404.3,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,adult,1059.9,SUBURBAN
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,adult,1059.9,SUBURBAN
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
72301,72301,West Memphis,AR,Crittenden,35.13363,-90.17883,24404.0,2.47,millennial,313.2,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38120,38120,Memphis,TN,Shelby,35.12344,-89.85237,13554.0,2.17,adult,534.1,RURAL
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,millennial,43.3,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,millennial,2115.1,SUBURBAN
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
72396,72396,Wynne,AR,Cross,35.22966,-90.83559,12771.0,2.53,adult,20.3,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38105,38105,Memphis,TN,Shelby,35.1512,-90.03541,5215.0,1.56,adult,1264.1,SUBURBAN
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38141,38141,Memphis,TN,Shelby,35.01599,-89.85472,23123.0,2.91,millennial,1184.3,SUBURBAN
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,millennial,43.3,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38637,38637,Horn Lake,MS,DeSoto,34.95105,-90.05004,26652.0,2.66,millennial,649.4,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38004,38004,Atoka,TN,Tipton,35.41909,-89.76687,11604.0,2.68,millennial,169.4,RURAL
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38114,38114,Memphis,TN,Shelby,35.09648,-89.98596,22112.0,2.2,adult,1031.6,SUBURBAN
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,adult,1059.9,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38053,38053,Millington,TN,Shelby,35.33583,-89.95,25556.0,2.63,adult,60.2,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,adult,1027.6,SUBURBAN
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,millennial,274.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38105,38105,Memphis,TN,Shelby,35.1512,-90.03541,5215.0,1.56,adult,1264.1,SUBURBAN
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
72370,72370,Osceola,AR,Mississippi,35.68443,-90.07734,7265.0,2.73,millennial,22.4,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38004,38004,Atoka,TN,Tipton,35.41909,-89.76687,11604.0,2.68,millennial,169.4,RURAL
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,millennial,2115.1,SUBURBAN
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38632,38632,Hernando,MS,DeSoto,34.79973,-90.00629,29491.0,2.69,millennial,74.7,RURAL
38106,38106,Memphis,TN,Shelby,35.10067,-90.0375,23140.0,2.44,adult,778.4,RURAL
38606,38606,Batesville,MS,Panola,34.30375,-89.9581,15509.0,2.68,millennial,24.9,RURAL
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,millennial,2115.1,SUBURBAN
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,millennial,2115.1,SUBURBAN
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38004,38004,Atoka,TN,Tipton,35.41909,-89.76687,11604.0,2.68,millennial,169.4,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
72364,72364,Marion,AR,Crittenden,35.2126,-90.18573,16314.0,2.68,millennial,77.4,RURAL
38126,38126,Memphis,TN,Shelby,35.12695,-90.04378,6034.0,2.21,young,1235.7,SUBURBAN
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,millennial,875.1,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38128,38128,Memphis,TN,Shelby,35.22623,-89.92612,44400.0,2.78,millennial,688.7,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38668,38668,Senatobia,MS,Tate,34.60109,-89.92505,14076.0,2.51,millennial,35.6,RURAL
38635,38635,Holly Springs,MS,Marshall,34.7677,-89.47896,15608.0,2.58,millennial,17.4,RURAL
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,millennial,1764.8,SUBURBAN
38128,38128,Memphis,TN,Shelby,35.22623,-89.92612,44400.0,2.78,millennial,688.7,RURAL
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38114,38114,Memphis,TN,Shelby,35.09648,-89.98596,22112.0,2.2,adult,1031.6,SUBURBAN
72301,72301,West Memphis,AR,Crittenden,35.13363,-90.17883,24404.0,2.47,millennial,313.2,RURAL
38126,38126,Memphis,TN,Shelby,35.12695,-90.04378,6034.0,2.21,young,1235.7,SUBURBAN
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,millennial,274.5,RURAL
38068,38068,Somerville,TN,Fayette,35.25972,-89.3349,10801.0,2.69,adult,15.6,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,millennial,487.4,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,adult,819.5,RURAL
38106,38106,Memphis,TN,Shelby,35.10067,-90.0375,23140.0,2.44,adult,778.4,RURAL
38606,38606,Batesville,MS,Panola,34.30375,-89.9581,15509.0,2.68,millennial,24.9,RURAL
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,adult,267.7,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38141,38141,Memphis,TN,Shelby,35.01599,-89.85472,23123.0,2.91,millennial,1184.3,SUBURBAN
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,millennial,274.5,RURAL
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,young,495.6,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
72365,72365,Marked Tree,AR,Poinsett,35.56181,-90.41857,2580.0,2.62,adult,11.2,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,millennial,797.3,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38060,38060,Oakland,TN,Fayette,35.21214,-89.50468,11713.0,2.56,adult,108.0,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38128,38128,Memphis,TN,Shelby,35.22623,-89.92612,44400.0,2.78,millennial,688.7,RURAL
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,millennial,43.3,RURAL
38004,38004,Atoka,TN,Tipton,35.41909,-89.76687,11604.0,2.68,millennial,169.4,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
72301,72301,West Memphis,AR,Crittenden,35.13363,-90.17883,24404.0,2.47,millennial,313.2,RURAL
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,millennial,1656.5,SUBURBAN
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,adult,1059.9,SUBURBAN
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,millennial,787.7,RURAL
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,young,1731.5,SUBURBAN
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38127,38127,Memphis,TN,Shelby,35.23795,-90.01753,40565.0,2.89,millennial,404.3,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,millennial,913.5,RURAL
38060,38060,Oakland,TN,Fayette,35.21214,-89.50468,11713.0,2.56,adult,108.0,RURAL
38002,38002,Arlington,TN,Shelby,35.28854,-89.70926,42797.0,2.86,adult,145.7,RURAL
38637,38637,Horn Lake,MS,DeSoto,34.95105,-90.05004,26652.0,2.66,millennial,649.4,RURAL
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,millennial,1473.8,SUBURBAN
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38112,38112,Memphis,TN,Shelby,35.14791,-89.97661,16334.0,2.25,millennial,1350.5,SUBURBAN
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,millennial,648.3,RURAL
38127,38127,Memphis,TN,Shelby,35.23795,-90.01753,40565.0,2.89,millennial,404.3,RURAL
38133,38133,Memphis,TN,Shelby,35.21292,-89.79474,21383.0,2.69,millennial,632.7,RURAL
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,millennial,940.8,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
38053,38053,Millington,TN,Shelby,35.33583,-89.95,25556.0,2.63,adult,60.2,RURAL
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,millennial,243.5,RURAL
